pc,value,idx,selected,perpcept,y,x,dist,propvar,cumulpropvar
PC324,1.06893267891425,323,Not used,-898.83364940864,140.980326692324,373.218080452107,148.650777929582,0.000339882546217928,0.927064647556091
PC325,1.06488696022499,324,Not used,-901.623771232864,140.661900334248,374.105240519715,148.316759910961,0.000338596151670814,0.927403243707762
PC326,1.06196039063891,325,Not used,-904.412773907984,140.343601700549,374.992044737487,147.981688539554,0.00033766560670552,0.927740909314468
PC327,1.05785909376705,326,Not used,-907.20295131039,140.025168999539,375.879222476992,147.647722831597,0.000336361540274493,0.928077270854742
PC328,1.05468936424793,327,Not used,-909.992197145443,139.70684261489,376.766104011023,147.312880324416,0.000335353679105092,0.928412624533847
PC329,1.04946368904545,328,Not used,-912.78349892618,139.38828159271,377.653639263074,146.97997289104,0.000333692100384035,0.928746316634231
PC330,1.04296165597948,329,Not used,-915.57607706478,139.069574904494,378.541580351786,146.648266776691,0.000331624685290784,0.929077941319522
PC331,1.03899024741699,330,Not used,-918.366124578877,138.75115702716,379.428716791402,146.314178816738,0.000330361918719123,0.929408303238241
PC332,1.03809623894809,331,Not used,-921.15309469288,138.433090362198,380.31487472662,145.97719438128,0.000330077655845747,0.929738380894087
PC333,1.03208404385328,332,Not used,-923.945182993509,138.114439577391,381.202660064181,145.645027227209,0.000328165991792912,0.93006654688588
PC334,1.03082362323006,333,Not used,-926.732519519667,137.796331095155,382.088934505506,145.308387662031,0.000327765222895884,0.930394312108776
PC335,1.02578868753546,334,Not used,-929.523630560895,137.477791841375,382.976409109138,144.975300702985,0.00032616429254949,0.930720476401325
PC336,1.0211787784507,335,Not used,-932.314316575514,137.15930109432,383.86374856934,144.64181370523,0.000324698505537391,0.931045174906863
PC337,1.01704846886431,336,Not used,-935.104522990635,136.840865082196,384.750935533862,144.30787530429,0.000323385214095768,0.931368560120958
PC338,1.01393944421481,337,Not used,-937.893708120819,136.522545625571,385.637797765891,143.972975661162,0.000322396654914287,0.931690956775873
PC339,1.01017854849822,338,Not used,-940.68354512207,136.204151773295,386.524867269867,143.638689564703,0.000321200823935003,0.932012157599808
PC340,1.00605166911619,339,Not used,-943.473748106986,135.885716152647,387.412053143705,143.304747935226,0.000319888623176277,0.932332046222984
PC341,0.999202264598231,340,Not used,-946.266673617038,135.566969820202,388.300104684255,142.973368769883,0.000317710756325012,0.932649756979309
PC342,0.997368602676082,341,Not used,-949.054583384494,135.248795916042,389.18656139604,142.637268744359,0.000317127717097849,0.932966884696407
PC343,0.992959335714537,342,Not used,-951.84506875699,134.930328067537,390.073837059142,142.303592900506,0.000315725727139635,0.933282610423546
PC344,0.987565784976234,343,Not used,-954.636538413263,134.611747886338,390.961425689676,141.970843473032,0.000314010769973247,0.93359662119352
PC345,0.984049717451811,344,Not used,-957.426130586321,134.293381975405,391.848417346945,141.636326942168,0.000312892785645096,0.933909513979165
PC346,0.981976315815745,345,Not used,-960.214280093492,133.975180710631,392.734950287481,141.300452561729,0.000312233517721774,0.934221747496886
PC347,0.977268281046452,346,Not used,-963.005064233795,133.656678764853,393.62232094818,140.967057920714,0.000310736530234503,0.934532484027121
PC348,0.973799119036813,347,Not used,-965.794609501339,133.338318207073,394.509297691154,140.632497241974,0.000309633460190582,0.934842117487312
PC349,0.971771678581357,348,Not used,-968.582713047329,133.020122187681,395.39581601766,140.296579602476,0.000308988806286834,0.935151106293598
PC350,0.965663271720213,349,Not used,-971.374897559724,132.701460422578,396.28363194716,139.964503003749,0.000307046550316693,0.935458152843915
PC351,0.961996161808239,350,Not used,-974.16464077517,132.383077273731,397.170671630567,139.630128635282,0.000305880539885232,0.9357640333838
PC352,0.960958699467597,351,Not used,-976.951754343045,132.064994236905,398.056875179043,139.293279219845,0.000305550663786486,0.936069584047587
PC353,0.95039758689588,352,Not used,-979.748391561151,131.745824300851,398.946106911489,138.965393546129,0.000302192605882021,0.936371776653469
PC354,0.946278643816662,353,Not used,-982.538586609765,131.427389585944,399.833290261864,138.631444446935,0.000300882928585118,0.936672659582054
PC355,0.943189532137365,354,Not used,-985.327751826978,131.109072401913,400.720146162273,138.296526061548,0.000299900701019415,0.936972560283073
PC356,0.941337079834568,355,Not used,-988.115680384815,130.790896353276,401.606608848735,137.960443721691,0.000299311687119997,0.937271871970193
PC357,0.937122450460366,356,Not used,-990.905971119723,130.472450718043,402.493822623968,137.626584683263,0.000297971584986976,0.93756984355518
PC358,0.936272643946068,357,Not used,-993.692897031772,130.154389097688,403.379966504528,137.289558644545,0.000297701376761922,0.937867544931942
PC359,0.932868553965629,358,Not used,-996.482377227287,129.83603596634,404.266922556898,136.95493671945,0.000296618997307229,0.938164163929249
PC360,0.930577569496862,359,Not used,-999.27074431729,129.517809869637,405.15352468108,136.61926712985,0.000295890545787362,0.938460054475037
PC361,0.923123526666711,360,Not used,-1002.06427446565,129.198994532043,406.04176847523,136.2884570553,0.000293520425473235,0.93875357490051
PC362,0.92066252077069,361,Not used,-1004.85281157708,128.880749031418,406.928424660213,135.952947491333,0.00029273791319094,0.939046312813701
PC363,0.918943622642495,362,Not used,-1007.64060658075,128.562588224828,407.81484488117,135.616739449136,0.000292191364765558,0.939338504178466
PC364,0.917303960323732,363,Not used,-1010.4283223486,128.24443646113,408.701239907943,135.280456829511,0.000291670010507397,0.939630174188974
PC365,0.912349722826822,364,Not used,-1013.21935269163,127.925906417139,409.588688852402,134.947293916626,0.000290094739315643,0.93992026892829
PC366,0.907980662531717,365,Not used,-1016.00979785746,127.607443157273,410.475951731206,134.613580229913,0.000288705533646313,0.940208974461936
PC367,0.90270494361414,366,Not used,-1018.80114968191,127.288876423787,411.363502895388,134.280719898113,0.000287028042805021,0.940496002504741
PC368,0.897432722557518,367,Not used,-1021.5924980085,126.9703100895,412.251052947374,133.947856274097,0.000285351664159017,0.9407813541689
PC369,0.89516471497019,368,Not used,-1024.38084212162,126.652086615064,413.13764776572,133.612165058457,0.00028463051846965,0.94106598468737
PC370,0.892965805490873,369,Not used,-1027.16911713664,126.333871026541,414.024220613312,133.276408807083,0.000283931343519275,0.941349916030889
PC371,0.88931974646823,370,Not used,-1029.95883930119,126.015490280155,414.91125360328,132.942014625337,0.000282772026521375,0.94163268805741
PC372,0.883353246960102,371,Not used,-1032.75088190624,125.696844710417,415.79902441126,132.609804462186,0.000280874892038696,0.941913562949449
PC373,0.882356158168384,372,Not used,-1035.53795510056,125.378766281276,416.685215122376,132.272917046817,0.000280557853291524,0.942194120802741
PC374,0.881569480513796,373,Not used,-1038.32481788375,125.060711865586,417.571338930191,131.935831590671,0.000280307717796961,0.942474428520537
PC375,0.87987232454957,374,Not used,-1041.11259114525,124.742553540349,418.457752237909,131.599603084562,0.00027976808260587,0.942754196603143
PC376,0.875804551155718,375,Not used,-1043.90273502418,124.424124665251,419.344919318134,131.265605824019,0.000278474675447671,0.943032671278591
PC377,0.872875159230446,376,Not used,-1046.69174052164,124.105825709449,420.23172443331,130.930537109021,0.000277543233078969,0.94331021451167
PC378,0.867988113659128,377,Not used,-1049.48270367274,123.787303333825,421.119152013113,130.597310954517,0.000275989326528044,0.943586203838198
PC379,0.864624321852817,378,Not used,-1052.27214357008,123.46895480156,422.006095252089,130.262651100433,0.000274919760458422,0.943861123598657
PC380,0.862073137117388,379,Not used,-1055.06077086035,123.150699009156,422.892780110754,129.927226413567,0.00027410857451486,0.944135232173171
PC381,0.861111717418149,380,Not used,-1057.84780838559,122.832624650798,423.778959480359,129.590305426141,0.000273802877269554,0.944409035050441
PC382,0.858209403753592,381,Not used,-1060.63678680479,122.514328785338,424.665755985606,129.255211224851,0.000272880044823983,0.944681915095265
PC383,0.857505913332777,382,Not used,-1063.42356640074,122.196283863501,425.551853342822,128.918047472163,0.000272656359908943,0.944954571455174
PC384,0.85359482159165,383,Not used,-1066.21355359802,121.877872869904,426.438970603822,128.583902741498,0.000271412771939665,0.945225984227113
PC385,0.850815829851459,384,Not used,-1069.00240869529,121.559591078723,427.325727897058,128.248692468549,0.000270529151476743,0.94549651337859
PC386,0.84409705223257,385,Not used,-1071.79520357844,121.240859654247,428.213737902874,127.917190356043,0.000268392819330083,0.94576490619792
PC387,0.842367214481965,386,Not used,-1074.58300952173,120.922697599158,429.100161602244,127.580992610312,0.00026784279249414,0.946032748990415
PC388,0.838734699157057,387,Not used,-1077.37271814259,120.604318398465,429.987190285796,127.246585681122,0.000266687781910068,0.946299436772325
PC389,0.834262430386987,388,Not used,-1080.16326651689,120.285843359794,430.874485981244,126.912969135115,0.000265265759619117,0.946564702531944
PC390,0.83301112777498,389,Not used,-1082.95059392504,119.967735918164,431.760757523364,126.576320987986,0.000264867889925125,0.946829570421869
PC391,0.830954346482645,390,Not used,-1085.73872681186,119.649536550209,432.647285179219,126.240430964336,0.000264213906679555,0.947093784328548
PC392,0.82656303423326,391,Not used,-1088.52919422965,119.331070750809,433.534555133358,125.906738221354,0.00026281762568076,0.947356601954229
